file_path,page_count,total_chars,total_words,text_sample,technical_score,structure_score,content_score,overall_score,issues,is_text_based,sample_id,faculty,file_size,error
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part13\9933233394404146\12395888000004146\9933233394404146.pdf,139,281556,46477," 
 
אוניברסיטת תל-אביב 
 
הפקולטה למדעי החברה ע""ש גרשון גורדון 
החוג ל
מדע המדינה 
 
גזענות אזרחית 
מידת הקשר בין גזענות למחשבה מדינית 
 
חיבור זה הוגש כעבודת גמר לקראת התואר 
""
 ""מוסמך אוניברסיטה- מ.א. 
באוניברסיטת תל-אביב 
 
על ידי 
רון ר. גרינולד 
 
 דצמבר0202
 
 
 
 
 

 
 
אוניברסיטת תל-אביב 
 
הפקולטה למדעי החברה ע""ש גרשון גורדון 
החוג ל
מדע המדינה 
 
גזענות אזרחית 
מידת הקשר בין גזענות למחשבה מדינית 
 
חיבור זה הוגש כעבודת גמר לקראת התואר 
""
 ""מוסמך אוניברסיטה- מ.א. 
באוניברסיטת תל-אביב 
",100,55,50,68.33333333333333,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933233394404146,"בית הספר למדע המדינה, ממשל ויחסים בינלאומיים",947242,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part7\9933628717604146\12436354260004146\אורטל סנקר 9933628717604146.pdf,56,136916,21450," 
 
אוניברסיטת תל -
 אביב 
 הפקולטה למדעים מדויקים 
 ע""ש ריימונד ובברלי סאקלר 
 
 
 
 
 
:הנושא 
 
 
 השיקולים שנשקלים על ידי
הועדה לשמירת הסביבה החופית 
 בעת יישום חוק שמירת הסביבה
החופית  
 
  
  
 חיבור זה הוגש כחלק מהדרישות לקבלת התואר 
 ""מוסמך( ""אוניברסיטהM.A) באוניברסיטת תל -
 אביב 
בבית הספר לסביבה ומדעי כדור הארץ ע""ש פורטר 
 בחוג ללימודי הסביבה 
  
 
  
 על ידי 
  
 
 אורטל סנקר 
  
  
  
:העבודה הוכנה בהנחיית 
  
  
  
 
 
 
 
 
 
2023
 
  
  
 
 
פרופ""ח מישל פורטמן 
הפקולטה לארכיטקטורה",75,55,70,66.66666666666667,"['Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933628717604146,"החוג ללימודי הסביבה,",698533,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part16\990030433740204146\12397080200004146\003043374.pdf,184,596,48,"ClCOCL 966T 
l!C\ClLL! L!lCCL! CL!LLCL.rl fi\t:; GllG, <.fi\LNt:; Llt::; 
itW ,L, NOU'L (lc(Q
11CTlaCTl Nl(<.CLO,C\L.!11 - v·w t:NlC,t:LO,C\Lr LrX Nt:,c 
u,t:ll iu L!lt'(i\ CC\ClLLr t'CTL t::;c!LNLC L!U'lNL 
L:.L-,a4, t?. 4&...t&.44 tt.f&...tu.c L:.4w0,,u 
UUlt £;X<.C'fll<.O dY0<.04 Nt..C<.Nl£;lt<.U 
c,Lr ac;L t::;L!OC\lL<.L! l\1/fi\ it::;al NLl 
L!Gc!Lt::;C\L! t::;CTLI'(, L!LlU 
NlCCLO<.C\U' Lrt::; NC<.C 
























































































",60,70,75,68.33333333333333,[],FALSE,990030433740204146,לא ידוע,49163473,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part4\9933299899204146\12396140540004146\9933299899204146.pdf,50,81096,12858," 1
אוניברסיטת תל אביב 
הפקולטה למדעי החברה 
     התכנית לניהול סכסוכים וגישור
 : אחריות הורית ומגדר
 השוואת עמדות בין שנים
 
2012-1994 
 עבודת גמר- 
      המסלול המחקרי במסגרת התואר לגישור ויישוב סכסוכים
  מנחה: פרופ' הדס מנדל
ברזילי-ידי: מיה פישר-  מוגש על

 2
אוניברסיטת תל אביב 
הפקולטה למדעי החברה 
     התכנית לניהול סכסוכים וגישור
 : אחריות הורית ומגדר
 השוואת עמדות בין שנים
 
2012-1994 
 עבודת גמר- 
      המסלול המחקרי במסגרת התואר לגישור ויישוב סכסוכים
  מנחה: פרופ' הדס מנדל
ברזילי-ידי: מי",100,45,60,68.33333333333333,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933299899204146,"התוכנית הבינלאומית ליישוב סכסוכים וגישור,",1338997,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part14\990028416820204146\12396710430004146\2841682.pdf,70,118929,17966,"
 
 
 
תוכן העניינים 
 
 
........................................................................................................................תקציר......................
1
 
1
.............................................. סקירת הספרות ...............................................................................
2
 
1.1
 
........................................................................................................................ מבוא...........
2  
1.2
 
......... יכולת הקשב המ",75,45,50,56.666666666666664,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,990028416820204146,"Department of Communication Disorders,",1270610,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part17\990032573570204146\12397267600004146\003257357.pdf,302,688640,127986,"אוניברסיטת תל-אביב 
הפקולטה למדעי הרוח על שם לסטר וסאלי אנטין 
ה חוג ללימודי
ה
ערבית ו
ה אסלאם 
 
'ֻרעיונות הרִ בַּאט והת'ֻו ע ר במסורת האסלאמית הקדומה ובמחקר בן זמננו
 ותפקידם בעימות עם
הביזנטים ,ה
ויזיגותים 
 והפרנקים בשלוש המאות הראשונות
להג'רה 
 
 
 
 
 חיבור זה הוגש כעבודת גמר לקראת
ה תואר 
 """"מוסמך אוניברסיטה–
 
M.A.
 באוניברסיטת תל-אביב 
 על ידי 
אלימלך גרוסמן 
 
 
 
 
 העבודה הוכנה בהדרכת
פרופ' אורי רובין 
 
 
אוק '
7102
 
 

 
 
 
תוכן 
מבוא                                              ",75,30,40,48.333333333333336,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,990032573570204146,"החוג ללימודי הערבית והאסלאם,",4779262,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part13\9933241696104146\12395918780004146\9933241696104146.pdf,117,257438,41826,"אוניברסיטת תל-אביב 
 
בית הספר לחינוך 
 
ע""ש חיים וג'ואן קונסטנטינר 
 
 
ביקורת חברתית: מקרה החקר של אקדמיה בכיכר 
 
 
עבודת מחקר במסגרת לימודים בסטטוס של ""
""מועמדת לתלמידת מחקר 
 
השקולה לעבודת גמר לתואר שני 
 
 
 
שם התלמידה
: יעל אשד סילבר 
 
 
העבודה בוצעה בהנחיית
ן 
 של
פרופ
' רחל גלי צינמון ופרופ' אילת שביט 
 
 
 
תאריך הגשת העבודה :
9.12.2020
 
 
 
 
 

1
 
תוכן עניינים 
פתיחה: 
................................
................................
................................
............",100,30,60,63.333333333333336,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933241696104146,"בית הספר לחינוך,",3810226,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part1\9932927998704146\12394499470004146\9932927998704146.pdf,143,130793,22452,"311-171 )1)3DW 5w )TP)D)31 fl1'\21N )TU)DT 
0'))' nan niIU mommrn 
""n'rnvi5'5 ,i'opn"" lNThn )tlp DW5 rni'n 
i-iS') 'Yflfl 
2'2N-531 3l'V12'))N 5w 	
wnn 
\Y')W)l 'lW)l 

.tllv 
ynn5 
1"")Y.fl5t fl-nfl) 'rn-jrn np5' 

31DT1T12 t131W)) it tY1i2) 
1l1tWflj2 '31) 'SliD 

3111131 
lpfl)Dfl 5v 1DI1N 5D -T-11N5 nrin 1rn19 5y nlrnnp )n v.01-1.05 nvnn5 nrin 
5flr 073v) wDn lflDTtfll Pnflyn ,mDn 5y 	
501j7 'nth fl-nfl 
,n'vpn O)fl2 )fllN fltfl)fl T111 5D TIVO 72 IDYDflV ,fll?O )flV'N5 rrrnlrn n-nn 
.5N'r11 ",75,80,90,81.66666666666667,"['Page numbers in content', 'Repeated headers/footers']",TRUE,9932927998704146,"School of Mechanical Engineering,",2688869,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part7\9933660818604146\12441444590004146\9933660818604146.pdf,251,579415,98608,"א
וניברסיטת תל-אביב 
הפקולטה למדעי הרוח ע""ש לסטר וסאלי אנטין 
בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר 
 
 
 סיפורי
מואלד 
 שנים עשר האמאמים השיעים וסיפורי
מולד אלנבי : מחקר
השוואתי בין שתי סוגות ספרותיות 
 
""חיבור לשם קבלת התואר ""דוקטור לפילוסופיה 
 
מאת 
 אודליה לוי מונינה 
 
מנחה 
פרופ' קמילה אדנג 
 
 
 
הוגש לסנאט של אוניברסיטת תל-אביב 
דצמבר 
2022
 

עבודה זו נעשתה בהדרכת 
 
פרופ' קמילה אדנג 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

תודות 
 
תודה מעומק הלב למנח
ה היקר
ה שלי פרופ' קמילה א",75,30,50,51.666666666666664,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933660818604146,"בית הספר למדעי התרבות ע""ש שירלי ולסלי פורטר,",3651720,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part4\990025291930204146\12396052310004146\2529193.pdf,47,75045,12016,"אוניברסיטת תל אביב 
הפקולטה לרפואה ע""ש סאקלר 
המדרשה לתארים מתקדמים 
בית הספר למקצועות הבריאות 
החוג לפיזיותרפיה 
 
 
הערכה כמותית של עקומות עמוד השדרה  
ויכולת התיישרותן בקרב קשישים 
 
 
 
 
עבודה זו מוגשת ע""י רונית ליפסון כחלק מהדרישות לקבלת תואר מוסמך  
בפקולטה לרפואה מטעם אוניברסיטת תל אביב 
א וקטובר3102
 
 
 
 
 
העבודה בוצעה בהנחיית
ם של דר 'תמרה פרושנסקי ופרופ 'זאבי דביר 
חתימ
ות   __________________:
 

2 עקומות עמוד השדרה ויכולת התיישרותן בקרב קשישים 
 
תוכן עניינים 
 
תקציר 
..........",75,55,70,66.66666666666667,"['Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,990025291930204146,"Department of Physical Therapy,",1259393,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part2\990022781230204146\12395185320004146\002278123.pdf,93,93,0,"




























































































",75,70,100,81.66666666666667,[],FALSE,990022781230204146,"בית הספר לחינוך,",2102369,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part7\9933528214904146\12443353730004146\9933528214904146.pdf,83,88346,14274,"•
l ·~ 
א
--
rr 
'א ו נ י
.#פקולטה
ב
ר
ס
י
ם
ח
חל-אביב
למדעי
החיים
ע""ש
ג'ורג'
ס.
וייז
המחלקה
למיקרוביולוגיהc:,__ 
/ 
~ 
/ 
~ 
9-
נוגדנים
טבעיים
מונוקלונלייס
מעכברים
בלחי
מחוסנים
המגיבים
עם
חאי
טומור
חיבור
זה
הוגש
כעבודח
גמר
לקראת
החואר
·מסמן
למדעי
המבע·
של
אוניברסיטח
אביב-חל
על
ידי
ליאורה
בחלון-אגסי
העבודה
הוכנה
במחלקה
למיקרוביולוגיה
של
אוניברסיטת
אביב-חל
בהדרכח
פרופ.
יצחק
ויץ
בסלו
חשמ""ה

א
ו
ב
י
ב
ר
ם
י
ם
ת
ת
ל-א
ב
ינ
הפקולטה
למדעי
החיים
ע""ש
ג'ורג""o 
• וייז
המחלקה
למיקרונ•ולוג•ה
נוגדנים
טבעיים
",75,55,70,66.66666666666667,"['Page numbers in content', 'Repeated headers/footers']",TRUE,9933528214904146,החוג למיקרוביולוגיה,1428325,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part6\990011191550204146\12407372890004146\001119155-האידיאולוגיה של המהפכה האיראנית כפי שהיא משתקפת בסמלים ומסרים אסלאמיים.pdf,211,303,14,"




























































































































122-121 -
 חסרים בגרסה
 המודפסת
שנסרקה
עמודים

































155-154 -
 חסרים בגרסה
 המודפסת
שנסרקה
עמודים





















































",35,70,100,68.33333333333333,[],FALSE,990011191550204146,"החוג להיסטוריה של המזרח התיכון ואפריקה,",12104794,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part6\990032791490204146\12397354940004146\3279149.pdf,48,69667,11541,"1 
 אוניברסיטת תל אביב
הפקולטה לרפואה ע""ש סאקלר 
המדרשה לתארים מתקדמים 
בית הספר למקצועות הבריאות 
החוג לפיזיותרפיה 
ההשפעה של תרגול נשימה קצובה על קצב נשימה ועל תפקוד מערכת הבקרה 
האוטונומית לבבית אצל חולים לאחר אירוע מוחי בשלב התת חריף: ניסוי קליני 
אקראי 
  The influence of paced breathing training on breathing rate and on  heart rate 
 autonomic nervous control system among patients at the sub-acute phase post
stroke, a randomized clinical trial
 עבודת מחקר לתואר מוסמך מטעם אוניברסיטת תל אבי",75,40,70,61.666666666666664,"['Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,990032791490204146,"החוג לפיזיותרפיה,",476849,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part14\990028410300204146\12396702330004146\2841030.pdf,70,103455,15923," 
 
 
אוניברסיטת תל אביב 
הפקולטה למדעי החיים ע""ס ג'ורג' ס. וויז 
המחלקה למיקרוביולוגיה מולקולארית וביוטכנולוגיה 
 
 אנליזה גנומית
ו פונקציונאלית של חיידקי 
  
E. coli
 ספטיסמיים 
 
""חיבור לשם קבלת התואר ""דוקטור לפילוסופיה 
מאת 
שגיא חוגה 
 
הוגש לסנאט אוניברסיטת תל אביב 
 נובמבר2014
 
 
 

 
 
 
עבודת מחקר 
 זאת נעשתה תחת
הנחייתה של 
 
פרופ' אליאורה רון 
 
המחלקה למיקרוביולוגיה מולקולארית וביוטכנולוגיה 
הפקולט
ה למדעי החיים ע""ס ג'ורג' ס. וויז 
אוניברסיטת תל אביב 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
",75,40,70,61.666666666666664,"['Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,990028410300204146,"החוג למיקרוביולוגיה מולקולרית ולביוטכנולוגיה,",4490979,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part5\990030895140204146\12397212140004146\003089514.pdf,326,5932,808,"













































1695-1638 tl'l'\Vn p:i Feyzullah Efendi , ,.,.,n n,,,p :t1'»N1 p,
n:iw ,(1695) $eyhulislam -n ,,p!lnl il""ll?>il ,mm:,';, pu,n o,"" ,'Oij?N·'""!lwnn 1tmnn n,n::b 
,m:i,mzm 1!l1N ,,,w mw:,nn n,r:il ,m,,•nn '!lH:m ,,on, n,w ,wpm Feyzullah nn!lwn 
,:, 1""Ö' mn .,:i,, 1wnn:i ,n,:i ,w moo:inn,, m,:rn,n';, m,iu,n ,mm ,:iw H mm:in 
jslam -:i 1948 mwl ooi!lnnw ,Orhan F. Koprillii ';,w ,,nNo il'il Oil'l'lT.l pwt-nn .U'l!l7W 
-l 'lN1Ui1 mm, ,v, 1:,11 n';,,nnn Fe",50,70,75,65,[],FALSE,990030895140204146,"החוג להיסטוריה של המזרח התיכון ואפריקה,",95390248,
